'relations_from'; 0.2955s
'to_turtle'; 0.2955s
'nodes_ids'; 0.0115s
'ontology_nodes'; 0.0421s
'nodes_ids'; 0.0132s
'prefixes_nodes'; 0.0439s
'prefixes'; 0.0441s
'_get_children_by_filter'; 0.0095s
'get_class_elements_children_of'; 0.0095s
'get_classes_children_of'; 0.0096s
'_get_children_by_filter'; 0.0092s
'get_named_instance_elements_children_of'; 0.0092s
'get_named_instances_children_of'; 0.0094s
'_get_children_by_filter'; 0.0104s
'get_datatype_elements_children_of'; 0.0104s
'get_datatypes_children_of'; 0.0105s
'__post_init__'; 0.0736s
'from_element'; 0.0737s
'nodes_ids'; 0.0118s
'prefixes_nodes'; 0.0433s
'prefixes'; 0.0436s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0020s
'_get_children_by_filter'; 0.0024s
'get_named_instance_elements_children_of'; 0.0024s
'get_named_instances_children_of'; 0.0024s
'_get_children_by_filter'; 0.0023s
'get_datatype_elements_children_of'; 0.0023s
'get_datatypes_children_of'; 0.0023s
'__post_init__'; 0.0504s
'from_element'; 0.0504s
'nodes_ids'; 0.0124s
'prefixes_nodes'; 0.0440s
'prefixes'; 0.0443s
'__post_init__'; 0.0449s
'from_element'; 0.0449s
'nodes_ids'; 0.0123s
'prefixes_nodes'; 0.0435s
'prefixes'; 0.0439s
'__post_init__'; 0.0444s
'from_element'; 0.0444s
'ontologies'; 0.2556s
'nodes_ids'; 0.0110s
'nodes_ids'; 0.0017s
'get_ontology_contains_element_id'; 0.2684s
'nodes_ids'; 0.0122s
'ontology_nodes'; 0.0448s
'nodes_ids'; 0.0119s
'prefixes_nodes'; 0.0448s
'prefixes'; 0.0452s
'_get_children_by_filter'; 0.0108s
'get_class_elements_children_of'; 0.0109s
'get_classes_children_of'; 0.0109s
'_get_children_by_filter'; 0.0113s
'get_named_instance_elements_children_of'; 0.0113s
'get_named_instances_children_of'; 0.0115s
'_get_children_by_filter'; 0.0101s
'get_datatype_elements_children_of'; 0.0101s
'get_datatypes_children_of'; 0.0101s
'__post_init__'; 0.0777s
'from_element'; 0.0777s
'nodes_ids'; 0.0143s
'prefixes_nodes'; 0.0476s
'prefixes'; 0.0478s
'_get_children_by_filter'; 0.0016s
'get_class_elements_children_of'; 0.0016s
'get_classes_children_of'; 0.0017s
'_get_children_by_filter'; 0.0023s
'get_named_instance_elements_children_of'; 0.0023s
'get_named_instances_children_of'; 0.0024s
'_get_children_by_filter'; 0.0018s
'get_datatype_elements_children_of'; 0.0018s
'get_datatypes_children_of'; 0.0018s
'__post_init__'; 0.0538s
'from_element'; 0.0538s
'nodes_ids'; 0.0121s
'prefixes_nodes'; 0.0444s
'prefixes'; 0.0446s
'__post_init__'; 0.0451s
'from_element'; 0.0451s
'nodes_ids'; 0.0120s
'prefixes_nodes'; 0.0462s
'prefixes'; 0.0464s
'__post_init__'; 0.0469s
'from_element'; 0.0469s
'ontologies'; 0.2683s
'nodes_ids'; 0.0095s
'nodes_ids'; 0.0015s
'get_ontology_contains_element_id'; 0.2794s
'nodes_ids'; 0.0118s
'ontology_nodes'; 0.0419s
'nodes_ids'; 0.0126s
'prefixes_nodes'; 0.0439s
'prefixes'; 0.0441s
'_get_children_by_filter'; 0.0102s
'get_class_elements_children_of'; 0.0102s
'get_classes_children_of'; 0.0102s
'_get_children_by_filter'; 0.0097s
'get_named_instance_elements_children_of'; 0.0097s
'get_named_instances_children_of'; 0.0100s
'_get_children_by_filter'; 0.0107s
'get_datatype_elements_children_of'; 0.0107s
'get_datatypes_children_of'; 0.0107s
'__post_init__'; 0.0750s
'from_element'; 0.0750s
'nodes_ids'; 0.0128s
'prefixes_nodes'; 0.0447s
'prefixes'; 0.0450s
'_get_children_by_filter'; 0.0017s
'get_class_elements_children_of'; 0.0017s
'get_classes_children_of'; 0.0017s
'_get_children_by_filter'; 0.0017s
'get_named_instance_elements_children_of'; 0.0017s
'get_named_instances_children_of'; 0.0017s
'_get_children_by_filter'; 0.0016s
'get_datatype_elements_children_of'; 0.0016s
'get_datatypes_children_of'; 0.0017s
'__post_init__'; 0.0501s
'from_element'; 0.0501s
'nodes_ids'; 0.0120s
'prefixes_nodes'; 0.0433s
'prefixes'; 0.0435s
'__post_init__'; 0.0441s
'from_element'; 0.0441s
'nodes_ids'; 0.0121s
'prefixes_nodes'; 0.0453s
'prefixes'; 0.0457s
'__post_init__'; 0.0463s
'from_element'; 0.0463s
'ontologies'; 0.2575s
'nodes_ids'; 0.0114s
'nodes_ids'; 0.0016s
'get_ontology_contains_element_id'; 0.2709s
'get_relations'; 0.8188s
'relations_from_node'; 0.8188s
'relations_from'; 0.8188s
'to_turtle'; 0.8188s
'nodes_ids'; 0.0123s
'ontology_nodes'; 0.0452s
'nodes_ids'; 0.0114s
'prefixes_nodes'; 0.0448s
'prefixes'; 0.0451s
'_get_children_by_filter'; 0.0091s
'get_class_elements_children_of'; 0.0091s
'get_classes_children_of'; 0.0091s
'_get_children_by_filter'; 0.0096s
'get_named_instance_elements_children_of'; 0.0096s
'get_named_instances_children_of'; 0.0098s
'_get_children_by_filter'; 0.0095s
'get_datatype_elements_children_of'; 0.0095s
'get_datatypes_children_of'; 0.0095s
'__post_init__'; 0.0736s
'from_element'; 0.0736s
'nodes_ids'; 0.0116s
'prefixes_nodes'; 0.0496s
'prefixes'; 0.0500s
'_get_children_by_filter'; 0.0023s
'get_class_elements_children_of'; 0.0023s
'get_classes_children_of'; 0.0024s
'_get_children_by_filter'; 0.0018s
'get_named_instance_elements_children_of'; 0.0018s
'get_named_instances_children_of'; 0.0019s
'_get_children_by_filter'; 0.0018s
'get_datatype_elements_children_of'; 0.0018s
'get_datatypes_children_of'; 0.0018s
